,Date,neg_per
0,2020-01-01,0.2978303747534517
1,2020-01-02,0.24784853700516352
2,2020-01-03,0.31105990783410137
3,2020-01-04,0.2871287128712871
4,2020-01-05,0.23883161512027493
5,2020-01-06,0.22869318181818182
6,2020-01-07,0.18583333333333332
7,2020-01-08,0.20315398886827457
8,2020-01-09,0.2266949152542373
9,2020-01-10,0.22130013831258644
10,2020-01-11,0.25255474452554744
11,2020-01-12,0.2696629213483146
12,2020-01-13,0.21719858156028368
13,2020-01-14,0.24954954954954955
14,2020-01-15,0.2590011614401858
15,2020-01-16,0.2788353863381859
16,2020-01-17,0.23561946902654868
17,2020-01-18,0.29055007052186177
18,2020-01-19,0.2804878048780488
19,2020-01-20,0.22874251497005987
20,2020-01-21,0.2621359223300971
21,2020-01-22,0.21302681992337164
22,2020-01-23,0.19498381877022652
23,2020-01-24,0.20042872454448016
24,2020-01-25,0.21166892808683854
25,2020-01-26,0.2245508982035928
26,2020-01-27,0.19419924337957126
27,2020-01-28,0.21245421245421245
28,2020-01-29,0.2483606557377049
29,2020-01-30,0.2731640356897735
30,2020-01-31,0.22535211267605634
31,2020-02-01,0.1941340782122905
32,2020-02-02,0.2676518883415435
33,2020-02-03,0.3055555555555556
34,2020-02-04,0.2572209211553474
35,2020-02-05,0.2815376285868977
36,2020-02-06,0.15577889447236182
37,2020-02-07,0.2925714285714286
38,2020-02-08,0.2642762284196547
39,2020-02-09,0.2620578778135048
40,2020-02-10,0.2664576802507837
41,2020-02-11,0.23173803526448364
42,2020-02-12,0.2853745541022592
43,2020-02-13,0.24864376130198915
44,2020-02-14,0.20131086142322097
45,2020-02-15,0.24615384615384617
46,2020-02-16,0.2077001013171226
47,2020-02-17,0.19189412737799835
48,2020-02-18,0.19841840402588065
49,2020-02-19,0.23646071700991608
50,2020-02-20,0.2140921409214092
51,2020-02-21,0.16807909604519775
52,2020-02-22,0.24645161290322581
53,2020-02-23,0.26584234930448225
54,2020-02-24,0.24405506883604505
55,2020-02-25,0.2713963963963964
56,2020-02-26,0.4101508916323731
57,2020-02-27,0.2924137931034483
58,2020-02-28,0.30362537764350456
59,2020-02-29,0.3004115226337449
60,2020-03-01,0.268348623853211
61,2020-03-02,0.24089635854341737
62,2020-03-03,0.2352168199737188
63,2020-03-04,0.2538787023977433
64,2020-03-05,0.2556291390728477
65,2020-03-06,0.2564841498559078
66,2020-03-07,0.25
67,2020-03-08,0.2495201535508637
68,2020-03-09,0.2984126984126984
69,2020-03-10,0.23557126030624265
70,2020-03-11,0.236144578313253
71,2020-03-12,0.31825273010920435
72,2020-03-13,0.3005671077504726
73,2020-03-14,0.26556016597510373
74,2020-03-15,0.2890995260663507
75,2020-03-16,0.2804642166344294
76,2020-03-17,0.3732876712328767
77,2020-03-18,0.44655172413793104
78,2020-03-19,0.45874587458745875
79,2020-03-20,0.44840525328330205
80,2020-03-21,0.3355263157894737
81,2020-03-22,0.41032608695652173
82,2020-03-23,0.3448275862068966
83,2020-03-24,0.3123877917414722
84,2020-03-25,0.222007722007722
85,2020-03-26,0.29980276134122286
86,2020-03-27,0.2744360902255639
87,2020-03-28,0.2877030162412993
88,2020-03-29,0.2661290322580645
89,2020-03-30,0.28603603603603606
90,2020-03-31,0.28063241106719367
91,2020-04-01,0.2714723926380368
92,2020-04-02,0.2894356005788712
93,2020-04-03,0.2544
94,2020-04-04,0.26436781609195403
95,2020-04-05,0.279126213592233
96,2020-04-06,0.22117962466487937
97,2020-04-07,0.21197411003236247
98,2020-04-08,0.34393939393939393
99,2020-04-09,0.296028880866426
100,2020-04-10,0.22568807339449543
101,2020-04-11,0.2913752913752914
102,2020-04-12,0.29069767441860467
103,2020-04-13,0.24693877551020407
104,2020-04-14,0.24717285945072698
105,2020-04-15,0.24190800681431004
106,2020-04-16,0.27380952380952384
107,2020-04-17,0.2859744990892532
108,2020-04-18,0.2971698113207547
109,2020-04-19,0.2717948717948718
110,2020-04-20,0.25225225225225223
111,2020-04-21,0.2672727272727273
112,2020-04-22,0.23135755258126195
113,2020-04-23,0.20987654320987653
114,2020-04-24,0.2971014492753623
115,2020-04-25,0.25413223140495866
116,2020-04-26,0.24721603563474387
117,2020-04-27,0.29711375212224106
118,2020-04-28,0.2375
119,2020-04-29,0.2934322033898305
120,2020-04-30,0.31786074672048437
121,2020-05-01,0.3373015873015873
122,2020-05-02,0.3022432113341204
123,2020-05-03,0.26929982046678635
124,2020-05-04,0.27729885057471265
125,2020-05-05,0.20185922974767595
126,2020-05-06,0.19607843137254902
127,2020-05-07,0.2820121951219512
128,2020-05-08,0.27629513343799056
129,2020-05-09,0.42764857881136953
130,2020-05-10,0.43914807302231235
131,2020-05-11,0.36128048780487804
132,2020-05-12,0.3462041884816754
133,2020-05-13,0.3282773564463705
134,2020-05-14,0.415929203539823
135,2020-05-15,0.3342857142857143
136,2020-05-16,0.34210526315789475
137,2020-05-17,0.34509803921568627
138,2020-05-18,0.2357473035439137
139,2020-05-19,0.2870229007633588
140,2020-05-20,0.3054187192118227
141,2020-05-21,0.24107142857142858
142,2020-05-22,0.22039473684210525
143,2020-05-23,0.24603174603174602
144,2020-05-24,128.02901785714286
145,2020-05-25,0.22674418604651161
146,2020-05-26,0.23689727463312368
147,2020-05-27,0.21120689655172414
148,2020-05-28,0.21363636363636362
149,2020-05-29,0.19971671388101983
150,2020-05-30,0.13303571428571428
151,2020-05-31,0.18282988871224165
152,2020-06-01,0.29411764705882354
153,2020-06-02,0.2112676056338028
154,2020-06-03,0.1912280701754386
155,2020-06-04,0.2805755395683453
