,Date,Volume,Price,Price_1d,Price_2d,Price_3d,Nasdaq,Nasdaq_1d,Nasdaq_2d,Nasdaq_3d
0,2020-01-02,47660500,86.052002,86.052002,86.052002,86.052002,9092.19043,9092.19043,9092.19043,9092.19043
1,2020-01-03,88892500,88.601997,86.052002,86.052002,86.052002,9020.769531,9092.19043,9092.19043,9092.19043
2,2020-01-06,50665000,90.307999,88.601997,86.052002,86.052002,9071.469727,9020.769531,9092.19043,9092.19043
3,2020-01-07,89410500,93.811996,90.307999,88.601997,86.052002,9068.580078,9071.469727,9020.769531,9092.19043
4,2020-01-08,155721500,98.428001,93.811996,90.307999,88.601997,9129.240234,9068.580078,9071.469727,9020.769531
5,2020-01-09,142202000,96.26799799999999,98.428001,93.811996,90.307999,9203.429688,9129.240234,9068.580078,9071.469727
6,2020-01-10,64797500,95.629997,96.26799799999999,98.428001,93.811996,9178.860352,9203.429688,9129.240234,9068.580078
7,2020-01-13,132588000,104.972,95.629997,96.26799799999999,98.428001,9273.929688,9178.860352,9203.429688,9129.240234
8,2020-01-14,144981000,107.584,104.972,95.629997,96.26799799999999,9251.330078,9273.929688,9178.860352,9203.429688
9,2020-01-15,86844000,103.699997,107.584,104.972,95.629997,9258.700195,9251.330078,9273.929688,9178.860352
10,2020-01-16,108683500,102.697998,103.699997,107.584,104.972,9357.129883,9258.700195,9251.330078,9273.929688
11,2020-01-17,68145500,102.099998,102.697998,103.699997,107.584,9388.94043,9357.129883,9258.700195,9251.330078
12,2020-01-21,89017500,109.440002,102.099998,102.697998,103.699997,9370.80957,9388.94043,9357.129883,9258.700195
13,2020-01-22,156845000,113.912003,109.440002,102.099998,102.697998,9383.769531,9370.80957,9388.94043,9357.129883
14,2020-01-23,98255000,114.440002,113.912003,109.440002,102.099998,9402.480469,9383.769531,9370.80957,9388.94043
15,2020-01-24,71768000,112.96399699999999,114.440002,113.912003,109.440002,9314.910156,9402.480469,9383.769531,9370.80957
16,2020-01-27,68040500,111.603996,112.96399699999999,114.440002,113.912003,9139.30957,9314.910156,9402.480469,9383.769531
17,2020-01-28,58942500,113.379997,111.603996,112.96399699999999,114.440002,9269.679688,9139.30957,9314.910156,9402.480469
18,2020-01-29,89007500,116.197998,113.379997,111.603996,112.96399699999999,9275.160156,9269.679688,9139.30957,9314.910156
19,2020-01-30,145028500,128.162003,116.197998,113.379997,111.603996,9298.929688,9275.160156,9269.679688,9139.30957
20,2020-01-31,78596500,130.113998,128.162003,116.197998,113.379997,9150.94043,9298.929688,9275.160156,9269.679688
21,2020-02-03,236167500,156.0,130.113998,128.162003,116.197998,9273.400391,9150.94043,9298.929688,9275.160156
22,2020-02-04,304694000,177.412003,156.0,130.113998,128.162003,9467.969727,9273.400391,9150.94043,9298.929688
23,2020-02-05,242119000,146.940002,177.412003,156.0,130.113998,9508.679688,9467.969727,9273.400391,9150.94043
24,2020-02-06,199404000,149.792007,146.940002,177.412003,156.0,9572.150391,9508.679688,9467.969727,9273.400391
25,2020-02-07,85317500,149.613998,149.792007,146.940002,177.412003,9520.509766,9572.150391,9508.679688,9467.969727
26,2020-02-10,123446000,154.255997,149.613998,149.792007,146.940002,9628.389648,9520.509766,9572.150391,9508.679688
27,2020-02-11,58487500,154.87600700000002,154.255997,149.613998,149.792007,9638.94043,9628.389648,9520.509766,9572.150391
28,2020-02-12,60112500,153.457993,154.87600700000002,154.255997,149.613998,9725.959961,9638.94043,9628.389648,9520.509766
29,2020-02-13,131446500,160.800003,153.457993,154.87600700000002,154.255997,9711.969727,9725.959961,9638.94043,9628.389648
30,2020-02-14,78468500,160.005997,160.800003,153.457993,154.87600700000002,9731.179688,9711.969727,9725.959961,9638.94043
31,2020-02-18,81908500,171.679993,160.005997,160.800003,153.457993,9732.740234,9731.179688,9711.969727,9725.959961
32,2020-02-19,127115000,183.483994,171.679993,160.005997,160.800003,9817.179688,9732.740234,9731.179688,9711.969727
33,2020-02-20,88174500,179.882004,183.483994,171.679993,160.005997,9750.969727,9817.179688,9732.740234,9731.179688
34,2020-02-21,71574000,180.199997,179.882004,183.483994,171.679993,9576.589844,9750.969727,9817.179688,9732.740234
35,2020-02-24,75961000,166.757996,180.199997,179.882004,183.483994,9221.280273,9576.589844,9750.969727,9817.179688
36,2020-02-25,86452500,159.98199499999998,166.757996,180.199997,179.882004,8965.610352,9221.280273,9576.589844,9750.969727
37,2020-02-26,70427500,155.759995,159.98199499999998,166.757996,180.199997,8980.780273,8965.610352,9221.280273,9576.589844
38,2020-02-27,121386000,135.800003,155.759995,159.98199499999998,166.757996,8566.480469,8980.780273,8965.610352,9221.280273
39,2020-02-28,122821000,133.598007,135.800003,155.759995,159.98199499999998,8567.370117,8566.480469,8980.780273,8965.610352
40,2020-03-02,100975000,148.723999,133.598007,135.800003,155.759995,8952.169922,8567.370117,8566.480469,8980.780273
41,2020-03-03,128920000,149.102005,148.723999,133.598007,135.800003,8684.089844,8952.169922,8567.370117,8566.480469
42,2020-03-04,75245000,149.899994,149.102005,148.723999,133.598007,9018.089844,8684.089844,8952.169922,8567.370117
43,2020-03-05,54263500,144.908005,149.899994,149.102005,148.723999,8738.589844,9018.089844,8684.089844,8952.169922
44,2020-03-06,63314500,140.695999,144.908005,149.899994,149.102005,8575.620117,8738.589844,9018.089844,8684.089844
45,2020-03-09,85368500,121.599998,140.695999,144.908005,149.899994,7950.680176000001,8575.620117,8738.589844,9018.089844
46,2020-03-10,77972000,129.065994,121.599998,140.695999,144.908005,8344.25,7950.680176000001,8575.620117,8738.589844
47,2020-03-11,66612500,126.846001,129.065994,121.599998,140.695999,7952.049805,8344.25,7950.680176000001,8575.620117
48,2020-03-12,94545500,112.110001,126.846001,129.065994,121.599998,7201.799805,7952.049805,8344.25,7950.680176000001
49,2020-03-13,113201500,109.32399699999999,112.110001,126.846001,129.065994,7874.879883,7201.799805,7952.049805,8344.25
50,2020-03-16,102447500,89.014,109.32399699999999,112.110001,126.846001,6904.589844,7874.879883,7201.799805,7952.049805
51,2020-03-17,119973000,86.040001,89.014,109.32399699999999,112.110001,7334.779785,6904.589844,7874.879883,7201.799805
52,2020-03-18,118931000,72.244003,86.040001,89.014,109.32399699999999,6989.839844,7334.779785,6904.589844,7874.879883
53,2020-03-19,150977500,85.528,72.244003,86.040001,89.014,7150.580078,6989.839844,7334.779785,6904.589844
54,2020-03-20,141427500,85.505997,85.528,72.244003,86.040001,6879.52002,7150.580078,6989.839844,7334.779785
55,2020-03-23,82272500,86.858002,85.505997,85.528,72.244003,6860.669922,6879.52002,7150.580078,6989.839844
56,2020-03-24,114476000,101.0,86.858002,85.505997,85.528,7417.859863,6860.669922,6879.52002,7150.580078
57,2020-03-25,106113500,107.849998,101.0,86.858002,85.505997,7384.299805,7417.859863,6860.669922,6879.52002
58,2020-03-26,86903500,105.63200400000001,107.849998,101.0,86.858002,7797.540039,7384.299805,7417.859863,6860.669922
59,2020-03-27,71887000,102.872002,105.63200400000001,107.849998,101.0,7502.379883,7797.540039,7384.299805,7417.859863
60,2020-03-30,59990500,100.42600300000001,102.872002,105.63200400000001,107.849998,7774.149901999999,7502.379883,7797.540039,7384.299805
